Stops,,Train 25012501,Train 25032503,Train 25052505,Train 25072507,Train 25092509,Train 25112511,Train 25132513,Train 25152515,Train 25172517
Bicycles Allowed?,,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed,Bicycles allowed
South Station,,¾06:40 AM06:40A¾,¾08:40 AM08:40A¾,¾10:40 AM10:40A¾,¾12:40 PM12:40P¾,¾02:20 PM02:20P¾,¾04:20 PM04:20P¾,¾06:20 PM06:20P¾,¾08:20 PM08:20P¾,¾10:40 PM10:40P¾
Accessible,,,,,,,,,,
Back Bay,,¾06:46 AM06:46A¾,¾08:46 AM08:46A¾,¾10:46 AM10:46A¾,¾12:46 PM12:46P¾,¾02:26 PM02:26P¾,¾04:26 PM04:26P¾,¾06:26 PM06:26P¾,¾08:26 PM08:26P¾,¾10:46 PM10:46P¾
Accessible,,,,,,,,,,
Yawkey,,¾06:49 AM06:49A¾,¾08:49 AM08:49A¾,¾10:49 AM10:49A¾,¾12:49 PM12:49P¾,¾02:29 PM02:29P¾,¾04:29 PM04:29P¾,¾06:29 PM06:29P¾,¾08:29 PM08:29P¾,¾10:49 PM10:49P¾
Accessible,,,,,,,,,,
Boston Landing,,Flag Stop06:54 AM06:54A¾,Flag Stop08:54 AM08:54A¾,Flag Stop10:54 AM10:54A¾,Flag Stop12:54 PM12:54P¾,Flag Stop02:34 PM02:34P¾,Flag Stop04:34 PM04:34P¾,Flag Stop06:34 PM06:34P¾,Flag Stop08:34 PM08:34P¾,Flag Stop10:54 PM10:54P¾
Accessible,,,,,,,,,,
Newtonville,,Flag Stop07:01 AM07:01A¾,Flag Stop09:01 AM09:01A¾,Flag Stop11:01 AM11:01A¾,Flag Stop01:01 PM01:01P¾,Flag Stop02:41 PM02:41P¾,Flag Stop04:41 PM04:41P¾,Flag Stop06:41 PM06:41P¾,Flag Stop08:41 PM08:41P¾,Flag Stop11:01 PM11:01P¾
Not accessible,,,,,,,,,,
West Newton,,Flag Stop07:04 AM07:04A¾,Flag Stop09:04 AM09:04A¾,Flag Stop11:04 AM11:04A¾,Flag Stop01:04 PM01:04P¾,Flag Stop02:44 PM02:44P¾,Flag Stop04:44 PM04:44P¾,Flag Stop06:44 PM06:44P¾,Flag Stop08:44 PM08:44P¾,Flag Stop11:04 PM11:04P¾
Not accessible,,,,,,,,,,
Auburndale,,Flag Stop07:07 AM07:07A¾,Flag Stop09:07 AM09:07A¾,Flag Stop11:07 AM11:07A¾,Flag Stop01:07 PM01:07P¾,Flag Stop02:47 PM02:47P¾,Flag Stop04:47 PM04:47P¾,Flag Stop06:47 PM06:47P¾,Flag Stop08:47 PM08:47P¾,Flag Stop11:07 PM11:07P¾
Not accessible,,,,,,,,,,
Wellesley Farms,,¾07:11 AM07:11A¾,¾09:11 AM09:11A¾,¾11:11 AM11:11A¾,¾01:11 PM01:11P¾,¾02:51 PM02:51P¾,¾04:51 PM04:51P¾,¾06:51 PM06:51P¾,¾08:51 PM08:51P¾,¾11:11 PM11:11P¾
Not accessible,,,,,,,,,,
Wellesley Hills,,¾07:14 AM07:14A¾,¾09:14 AM09:14A¾,¾11:14 AM11:14A¾,¾01:14 PM01:14P¾,¾02:54 PM02:54P¾,¾04:54 PM04:54P¾,¾06:54 PM06:54P¾,¾08:54 PM08:54P¾,¾11:14 PM11:14P¾
Not accessible,,,,,,,,,,
Wellesley Square,,¾07:17 AM07:17A¾,¾09:17 AM09:17A¾,¾11:17 AM11:17A¾,¾01:17 PM01:17P¾,¾02:57 PM02:57P¾,¾04:57 PM04:57P¾,¾06:57 PM06:57P¾,¾08:57 PM08:57P¾,¾11:17 PM11:17P¾
Not accessible,,,,,,,,,,
Natick Center,,¾07:22 AM07:22A¾,¾09:22 AM09:22A¾,¾11:22 AM11:22A¾,¾01:22 PM01:22P¾,¾03:02 PM03:02P¾,¾05:02 PM05:02P¾,¾07:02 PM07:02P¾,¾09:02 PM09:02P¾,¾11:22 PM11:22P¾
Not accessible,,,,,,,,,,
West Natick,,¾07:26 AM07:26A¾,¾09:26 AM09:26A¾,¾11:26 AM11:26A¾,¾01:26 PM01:26P¾,¾03:06 PM03:06P¾,¾05:06 PM05:06P¾,¾07:06 PM07:06P¾,¾09:06 PM09:06P¾,¾11:26 PM11:26P¾
Accessible,,,,,,,,,,
Framingham,,¾07:31 AM07:31A¾,¾09:31 AM09:31A¾,¾11:31 AM11:31A¾,¾01:31 PM01:31P¾,¾03:11 PM03:11P¾,¾05:11 PM05:11P¾,¾07:11 PM07:11P¾,¾09:11 PM09:11P¾,¾11:31 PM11:31P¾
Accessible,,,,,,,,,,
Ashland,,¾07:37 AM07:37A¾,¾09:37 AM09:37A¾,¾11:37 AM11:37A¾,¾01:37 PM01:37P¾,¾03:17 PM03:17P¾,¾05:17 PM05:17P¾,¾07:17 PM07:17P¾,¾09:17 PM09:17P¾,¾11:37 PM11:37P¾
Accessible,,,,,,,,,,
Southborough,,¾07:41 AM07:41A¾,¾09:41 AM09:41A¾,¾11:41 AM11:41A¾,¾01:41 PM01:41P¾,¾03:21 PM03:21P¾,¾05:21 PM05:21P¾,¾07:21 PM07:21P¾,¾09:21 PM09:21P¾,¾11:41 PM11:41P¾
Accessible,,,,,,,,,,
Westborough,,¾07:49 AM07:49A¾,¾09:49 AM09:49A¾,¾11:49 AM11:49A¾,¾01:49 PM01:49P¾,¾03:29 PM03:29P¾,¾05:29 PM05:29P¾,¾07:29 PM07:29P¾,¾09:29 PM09:29P¾,¾11:49 PM11:49P¾
Accessible,,,,,,,,,,
